x,y,detectorID,nPrimary,roiCounts,normalizedCounts
-33.6735,5.10204,5,400000,11,2.75e-05
-33.6735,7.14286,0,400000,5,1.25e-05
-33.6735,7.14286,1,400000,7,1.75e-05
-33.6735,7.14286,2,400000,42,0.000105
-33.6735,7.14286,3,400000,72,0.00018
-33.6735,7.14286,4,400000,8,2e-05
-33.6735,7.14286,5,400000,15,3.75e-05
-33.6735,9.18367,0,400000,5,1.25e-05
-33.6735,9.18367,1,400000,3,7.5e-06
-33.6735,9.18367,2,400000,34,8.5e-05
-33.6735,9.18367,3,400000,70,0.000175
-33.6735,9.18367,4,400000,11,2.75e-05
-33.6735,9.18367,5,400000,4,1e-05
-33.6735,11.2245,0,400000,14,3.5e-05
-33.6735,11.2245,1,400000,12,3e-05
-33.6735,11.2245,2,400000,40,0.0001
-33.6735,11.2245,3,400000,51,0.0001275
-33.6735,11.2245,4,400000,6,1.5e-05
-33.6735,11.2245,5,400000,11,2.75e-05
-33.6735,13.2653,0,400000,7,1.75e-05
-33.6735,13.2653,1,400000,4,1e-05
-33.6735,13.2653,2,400000,33,8.25e-05
-33.6735,13.2653,3,400000,43,0.0001075
-33.6735,13.2653,4,400000,3,7.5e-06
-33.6735,13.2653,5,400000,12,3e-05
-33.6735,15.3061,0,400000,6,1.5e-05
-33.6735,15.3061,1,400000,13,3.25e-05
-33.6735,15.3061,2,400000,34,8.5e-05
-33.6735,15.3061,3,400000,44,0.00011
-33.6735,15.3061,4,400000,10,2.5e-05
-33.6735,15.3061,5,400000,4,1e-05
-33.6735,17.3469,0,400000,4,1e-05
-33.6735,17.3469,1,400000,4,1e-05
-33.6735,17.3469,2,400000,34,8.5e-05
-33.6735,17.3469,3,400000,50,0.000125
-33.6735,17.3469,4,400000,15,3.75e-05
-33.6735,17.3469,5,400000,16,4e-05
-33.6735,19.3878,0,400000,3,7.5e-06
-33.6735,19.3878,1,400000,6,1.5e-05
-33.6735,19.3878,2,400000,44,0.00011
-33.6735,19.3878,3,400000,44,0.00011
-33.6735,19.3878,4,400000,11,2.75e-05
-33.6735,19.3878,5,400000,8,2e-05
-33.6735,21.4286,0,400000,8,2e-05
-33.6735,21.4286,1,400000,6,1.5e-05
-33.6735,21.4286,2,400000,23,5.75e-05
-33.6735,21.4286,3,400000,39,9.75e-05
-33.6735,21.4286,4,400000,1,2.5e-06
-33.6735,21.4286,5,400000,9,2.25e-05
-33.6735,23.4694,0,400000,1,2.5e-06
-33.6735,23.4694,1,400000,4,1e-05
-33.6735,23.4694,2,400000,30,7.5e-05
-33.6735,23.4694,3,400000,26,6.5e-05
-33.6735,23.4694,4,400000,6,1.5e-05
-33.6735,23.4694,5,400000,11,2.75e-05
-33.6735,25.5102,0,400000,12,3e-05
-33.6735,25.5102,1,400000,1,2.5e-06
-33.6735,25.5102,2,400000,36,9e-05
-33.6735,25.5102,3,400000,31,7.75e-05
-33.6735,25.5102,4,400000,1,2.5e-06
-33.6735,25.5102,5,400000,2,5e-06
-33.6735,27.551,0,400000,11,2.75e-05
-33.6735,27.551,1,400000,5,1.25e-05
-33.6735,27.551,2,400000,29,7.25e-05
-33.6735,27.551,3,400000,45,0.0001125
-33.6735,27.551,4,400000,6,1.5e-05
-33.6735,27.551,5,400000,6,1.5e-05
-33.6735,29.5918,0,400000,6,1.5e-05
-33.6735,29.5918,1,400000,10,2.5e-05
-33.6735,29.5918,2,400000,18,4.5e-05
-33.6735,29.5918,3,400000,35,8.75e-05
-33.6735,29.5918,4,400000,9,2.25e-05
-33.6735,29.5918,5,400000,6,1.5e-05
-33.6735,31.6327,0,400000,9,2.25e-05
-33.6735,31.6327,1,400000,7,1.75e-05
-33.6735,31.6327,2,400000,25,6.25e-05
-33.6735,31.6327,3,400000,28,7e-05
-33.6735,31.6327,4,400000,7,1.75e-05
-33.6735,31.6327,5,400000,1,2.5e-06
-33.6735,33.6735,0,400000,8,2e-05
-33.6735,33.6735,1,400000,14,3.5e-05
-33.6735,33.6735,2,400000,29,7.25e-05
-33.6735,33.6735,3,400000,34,8.5e-05
-33.6735,33.6735,4,400000,4,1e-05
-33.6735,33.6735,5,400000,4,1e-05
-33.6735,35.7143,0,400000,5,1.25e-05
-33.6735,35.7143,1,400000,0,0
-33.6735,35.7143,2,400000,22,5.5e-05
-33.6735,35.7143,3,400000,17,4.25e-05
-33.6735,35.7143,4,400000,2,5e-06
-33.6735,35.7143,5,400000,5,1.25e-05
-33.6735,37.7551,0,400000,3,7.5e-06
-33.6735,37.7551,1,400000,7,1.75e-05
-33.6735,37.7551,2,400000,34,8.5e-05
-33.6735,37.7551,3,400000,17,4.25e-05
-33.6735,37.7551,4,400000,3,7.5e-06
-33.6735,37.7551,5,400000,6,1.5e-05
-33.6735,39.7959,0,400000,2,5e-06
-33.6735,39.7959,1,400000,8,2e-05
-33.6735,39.7959,2,400000,13,3.25e-05
-33.6735,39.7959,3,400000,18,4.5e-05
-33.6735,39.7959,4,400000,2,5e-06
-33.6735,39.7959,5,400000,7,1.75e-05
-33.6735,41.8367,0,400000,5,1.25e-05
-33.6735,41.8367,1,400000,6,1.5e-05
-33.6735,41.8367,2,400000,18,4.5e-05
-33.6735,41.8367,3,400000,22,5.5e-05
-33.6735,41.8367,4,400000,8,2e-05
-33.6735,41.8367,5,400000,13,3.25e-05
-33.6735,43.8776,0,400000,2,5e-06
-33.6735,43.8776,1,400000,13,3.25e-05
-33.6735,43.8776,2,400000,22,5.5e-05
-33.6735,43.8776,3,400000,23,5.75e-05
-33.6735,43.8776,4,400000,7,1.75e-05
-33.6735,43.8776,5,400000,2,5e-06
-33.6735,45.9184,0,400000,2,5e-06
-33.6735,45.9184,1,400000,14,3.5e-05
-33.6735,45.9184,2,400000,28,7e-05
-33.6735,45.9184,3,400000,9,2.25e-05
-33.6735,45.9184,4,400000,1,2.5e-06
-33.6735,45.9184,5,400000,2,5e-06
-33.6735,47.9592,0,400000,7,1.75e-05
-33.6735,47.9592,1,400000,8,2e-05
-33.6735,47.9592,2,400000,25,6.25e-05
-33.6735,47.9592,3,400000,5,1.25e-05
-33.6735,47.9592,4,400000,2,5e-06
-33.6735,47.9592,5,400000,1,2.5e-06
-33.6735,50,0,400000,1,2.5e-06
-33.6735,50,1,400000,8,2e-05
-33.6735,50,2,400000,21,5.25e-05
-33.6735,50,3,400000,11,2.75e-05
-33.6735,50,4,400000,2,5e-06
-33.6735,50,5,400000,1,2.5e-06
-31.6327,-50,0,400000,4,1e-05
-31.6327,-50,1,400000,3,7.5e-06
-31.6327,-50,2,400000,4,1e-05
-31.6327,-50,3,400000,11,2.75e-05
-31.6327,-50,4,400000,19,4.75e-05
-31.6327,-50,5,400000,23,5.75e-05
-31.6327,-47.9592,0,400000,2,5e-06
-31.6327,-47.9592,1,400000,2,5e-06
-31.6327,-47.9592,2,400000,0,0
-31.6327,-47.9592,3,400000,5,1.25e-05
-31.6327,-47.9592,4,400000,30,7.5e-05
-31.6327,-47.9592,5,400000,10,2.5e-05
-31.6327,-45.9184,0,400000,4,1e-05
-31.6327,-45.9184,1,400000,8,2e-05
-31.6327,-45.9184,2,400000,0,0
-31.6327,-45.9184,3,400000,13,3.25e-05
-31.6327,-45.9184,4,400000,26,6.5e-05
-31.6327,-45.9184,5,400000,15,3.75e-05
-31.6327,-43.8776,0,400000,1,2.5e-06
-31.6327,-43.8776,1,400000,3,7.5e-06
-31.6327,-43.8776,2,400000,5,1.25e-05
-31.6327,-43.8776,3,400000,12,3e-05
-31.6327,-43.8776,4,400000,33,8.25e-05
-31.6327,-43.8776,5,400000,12,3e-05
-31.6327,-41.8367,0,400000,4,1e-05
-31.6327,-41.8367,1,400000,2,5e-06
-31.6327,-41.8367,2,400000,3,7.5e-06
-31.6327,-41.8367,3,400000,18,4.5e-05
-31.6327,-41.8367,4,400000,19,4.75e-05
-31.6327,-41.8367,5,400000,12,3e-05
-31.6327,-39.7959,0,400000,4,1e-05
-31.6327,-39.7959,1,400000,2,5e-06
-31.6327,-39.7959,2,400000,1,2.5e-06
-31.6327,-39.7959,3,400000,9,2.25e-05
-31.6327,-39.7959,4,400000,26,6.5e-05
-31.6327,-39.7959,5,400000,5,1.25e-05
-31.6327,-37.7551,0,400000,7,1.75e-05
-31.6327,-37.7551,1,400000,8,2e-05
-31.6327,-37.7551,2,400000,13,3.25e-05
-31.6327,-37.7551,3,400000,24,6e-05
-31.6327,-37.7551,4,400000,30,7.5e-05
-31.6327,-37.7551,5,400000,5,1.25e-05
-31.6327,-35.7143,0,400000,3,7.5e-06
-31.6327,-35.7143,1,400000,3,7.5e-06
-31.6327,-35.7143,2,400000,6,1.5e-05
-31.6327,-35.7143,3,400000,15,3.75e-05
-31.6327,-35.7143,4,400000,27,6.75e-05
-31.6327,-35.7143,5,400000,11,2.75e-05
-31.6327,-33.6735,0,400000,1,2.5e-06
-31.6327,-33.6735,1,400000,2,5e-06
-31.6327,-33.6735,2,400000,11,2.75e-05
-31.6327,-33.6735,3,400000,21,5.25e-05
-31.6327,-33.6735,4,400000,30,7.5e-05
-31.6327,-33.6735,5,400000,8,2e-05
-31.6327,-31.6327,0,400000,2,5e-06
-31.6327,-31.6327,1,400000,0,0
-31.6327,-31.6327,2,400000,1,2.5e-06
-31.6327,-31.6327,3,400000,23,5.75e-05
-31.6327,-31.6327,4,400000,29,7.25e-05
-31.6327,-31.6327,5,400000,19,4.75e-05
-31.6327,-29.5918,0,400000,8,2e-05
-31.6327,-29.5918,1,400000,9,2.25e-05
-31.6327,-29.5918,2,400000,3,7.5e-06
-31.6327,-29.5918,3,400000,28,7e-05
-31.6327,-29.5918,4,400000,27,6.75e-05
-31.6327,-29.5918,5,400000,11,2.75e-05
-31.6327,-27.551,0,400000,4,1e-05
-31.6327,-27.551,1,400000,6,1.5e-05
-31.6327,-27.551,2,400000,15,3.75e-05
-31.6327,-27.551,3,400000,35,8.75e-05
-31.6327,-27.551,4,400000,27,6.75e-05
-31.6327,-27.551,5,400000,10,2.5e-05
-31.6327,-25.5102,0,400000,6,1.5e-05
-31.6327,-25.5102,1,400000,10,2.5e-05
-31.6327,-25.5102,2,400000,6,1.5e-05
-31.6327,-25.5102,3,400000,33,8.25e-05
-31.6327,-25.5102,4,400000,30,7.5e-05
-31.6327,-25.5102,5,400000,8,2e-05
-31.6327,-23.4694,0,400000,2,5e-06
-31.6327,-23.4694,1,400000,5,1.25e-05
-31.6327,-23.4694,2,400000,2,5e-06
-31.6327,-23.4694,3,400000,29,7.25e-05
-31.6327,-23.4694,4,400000,54,0.000135
-31.6327,-23.4694,5,400000,5,1.25e-05
-31.6327,-21.4286,0,400000,13,3.25e-05
-31.6327,-21.4286,1,400000,8,2e-05
-31.6327,-21.4286,2,400000,5,1.25e-05
-31.6327,-21.4286,3,400000,40,0.0001
-31.6327,-21.4286,4,400000,57,0.0001425
-31.6327,-21.4286,5,400000,6,1.5e-05
-31.6327,-19.3878,0,400000,8,2e-05
-31.6327,-19.3878,1,400000,10,2.5e-05
-31.6327,-19.3878,2,400000,7,1.75e-05
-31.6327,-19.3878,3,400000,37,9.25e-05
-31.6327,-19.3878,4,400000,45,0.0001125
-31.6327,-19.3878,5,400000,4,1e-05
-31.6327,-17.3469,0,400000,3,7.5e-06
-31.6327,-17.3469,1,400000,6,1.5e-05
-31.6327,-17.3469,2,400000,9,2.25e-05
-31.6327,-17.3469,3,400000,33,8.25e-05
