x,y,det_0,det_1,det_2,det_3,det_4,det_5,RD_1_4,RD_2_5,RD_0_3
-47.9592,-43.8776,7.5e-06,7.5e-06,5e-06,4.25e-05,4.5e-05,2.5e-05,-1.4285714285170068,-1.3333333332444446,-1.399999999944
-47.9592,-41.8367,7.5e-06,7.5e-06,7.5e-06,5.25e-05,4e-05,2.75e-05,-1.3684210525739613,-1.1428571427918366,-1.49999999995
-47.9592,-39.7959,2.5e-06,1e-05,2.5e-06,5e-05,5.75e-05,1.5e-05,-1.4074074073657066,-1.4285714284081632,-1.8095238094548753
-47.9592,-37.7551,7.5e-06,0.0,0.0,2.25e-05,4e-05,1.75e-05,-1.9999999999,-1.9999999997714284,-0.9999999999333334
-47.9592,-35.7143,5e-06,2.5e-06,1.75e-05,2e-05,6e-05,7.5e-06,-1.83999999994112,0.799999999936,-1.199999999904
-47.9592,-33.6735,5e-06,5e-06,0.0,5e-05,5.75e-05,1e-05,-1.67999999994624,-1.9999999996,-1.6363636363041323
-47.9592,-31.6327,2.5e-06,5e-06,2.25e-05,4.5e-05,5.25e-05,7.5e-06,-1.6521739129860114,0.9999999999333334,-1.7894736841351802
-47.9592,-29.5918,1e-05,2.5e-06,1e-05,7.5e-05,5.25e-05,2.5e-06,-1.8181818181157026,1.199999999808,-1.5294117646698961
-47.9592,-27.551,7.5e-06,7.5e-06,2.5e-06,3e-05,2e-05,2.75e-05,-0.9090909090247935,-1.6666666665555556,-1.199999999936
-47.9592,-25.5102,2.25e-05,2.5e-06,1.25e-05,4.5e-05,7e-05,2e-05,-1.8620689654658735,-0.4615384615100592,-0.6666666666469137
-47.9592,-23.4694,0.0,2.5e-06,5e-06,4.25e-05,8e-05,2.5e-06,-1.878787878742332,0.6666666664888888,-1.9999999999058824
-47.9592,-21.4286,5e-06,1.75e-05,2.5e-05,4.75e-05,8e-05,1.25e-05,-1.2820512820249834,0.6666666666311111,-1.619047618985941
-47.9592,-19.3878,1.5e-05,1e-05,5e-06,3.75e-05,5e-05,1.25e-05,-1.333333333288889,-0.8571428570448979,-0.8571428571102041
-47.9592,-17.3469,1.5e-05,2.5e-06,1.25e-05,5.25e-05,5.25e-05,0.0,-1.8181818181157026,1.99999999968,-1.1111111110781893
-47.9592,-15.3061,1.25e-05,2e-05,2.5e-05,5.25e-05,6e-05,1.75e-05,-0.9999999999749998,0.3529411764539793,-1.230769230731361
-47.9592,-13.2653,7.5e-06,1.75e-05,2.25e-05,5.75e-05,5e-05,0.0,-0.9629629629344308,1.9999999998222222,-1.538461538414201
-47.9592,-11.2245,5e-06,0.0,2.75e-05,7.25e-05,5.75e-05,1.5e-05,-1.9999999999304348,0.5882352940899653,-1.7419354838260146
-47.9592,-9.18367,2.5e-06,2.25e-05,2.75e-05,6.5e-05,3.25e-05,1e-05,-0.3636363636231404,0.9333333332835554,-1.8518518517969818
-47.9592,-7.14286,2e-05,1e-05,2.5e-05,9e-05,5.5e-05,7.5e-06,-1.3846153845727809,1.0769230768568048,-1.2727272727041323
