x,y,roiCounts,normalizedCounts,flux,normalizedFlux,nPrimary
-45.9184,15.3061,550,0.0055,868,0.00868,600000
-45.9184,17.3469,529,0.00529,836,0.00836,600000
-45.9184,19.3878,590,0.0059,928,0.00928,600000
-45.9184,21.4286,518,0.00518,850,0.0085,600000
-45.9184,23.4694,614,0.0061400000000000005,932,0.00932,600000
-45.9184,25.5102,495,0.0049499999999999995,877,0.00877,600000
-45.9184,27.551,483,0.00483,862,0.00862,600000
-45.9184,29.5918,465,0.00465,868,0.00868,600000
-45.9184,31.6327,503,0.00503,832,0.00832,600000
-45.9184,33.6735,460,0.0046,779,0.00779,600000
-45.9184,35.7143,544,0.0054399999999999995,905,0.00905,600000
-45.9184,37.7551,515,0.00515,847,0.00847,600000
-45.9184,39.7959,609,0.00609,913,0.00913,600000
-45.9184,41.8367,537,0.00537,910,0.0091,600000
-45.9184,43.8776,567,0.00567,906,0.00906,600000
-45.9184,45.9184,609,0.00609,932,0.00932,600000
-45.9184,47.9592,538,0.00538,858,0.00858,600000
-45.9184,50.0,500,0.005,904,0.00904,600000
-43.8776,-50.0,569,0.00569,897,0.00897,600000
-43.8776,-47.9592,518,0.00518,870,0.0087,600000
-43.8776,-45.9184,520,0.0052,844,0.00844,600000
-43.8776,-43.8776,534,0.00534,882,0.00882,600000
-43.8776,-41.8367,539,0.00539,851,0.00851,600000
-43.8776,-39.7959,475,0.00475,819,0.00819,600000
-43.8776,-37.7551,495,0.0049499999999999995,889,0.00889,600000
-43.8776,-35.7143,517,0.00517,883,0.008830000000000001,600000
-43.8776,-33.6735,509,0.00509,854,0.00854,600000
-43.8776,-31.6327,473,0.00473,829,0.00829,600000
-43.8776,-29.5918,507,0.00507,874,0.00874,600000
-43.8776,-27.551,623,0.00623,868,0.00868,600000
-43.8776,-25.5102,589,0.005889999999999999,889,0.00889,600000
-43.8776,-23.4694,459,0.00459,801,0.00801,600000
-43.8776,-21.4286,535,0.005350000000000001,877,0.00877,600000
-43.8776,-19.3878,568,0.00568,901,0.00901,600000
-43.8776,-17.3469,548,0.00548,881,0.00881,600000
-43.8776,-15.3061,529,0.00529,857,0.00857,600000
-43.8776,-13.2653,600,0.006,951,0.00951,600000
-43.8776,-11.2245,500,0.005,844,0.00844,600000
-43.8776,-9.18367,543,0.00543,849,0.00849,600000
-43.8776,-7.14286,533,0.00533,890,0.0089,600000
-43.8776,-5.10204,577,0.00577,877,0.00877,600000
-43.8776,-3.06122,534,0.00534,832,0.00832,600000
-43.8776,-1.02041,618,0.00618,925,0.00925,600000
-43.8776,1.02041,593,0.0059299999999999995,959,0.00959,600000
-43.8776,3.06122,569,0.00569,933,0.00933,600000
-43.8776,5.10204,537,0.00537,933,0.00933,600000
-43.8776,7.14286,553,0.00553,895,0.00895,600000
-43.8776,9.18367,562,0.00562,920,0.0092,600000
-43.8776,11.2245,486,0.00486,917,0.00917,600000
-43.8776,13.2653,582,0.00582,872,0.00872,600000
-43.8776,15.3061,558,0.00558,812,0.00812,600000
-43.8776,17.3469,493,0.00493,835,0.00835,600000
-43.8776,19.3878,547,0.00547,935,0.00935,600000
-43.8776,21.4286,504,0.00504,776,0.0077599999999999995,600000
-43.8776,23.4694,534,0.00534,942,0.00942,600000
-43.8776,25.5102,564,0.00564,919,0.00919,600000
-43.8776,27.551,556,0.00556,883,0.008830000000000001,600000
-43.8776,29.5918,513,0.00513,807,0.00807,600000
-43.8776,31.6327,521,0.00521,888,0.008879999999999999,600000
-43.8776,33.6735,500,0.005,822,0.00822,600000
-43.8776,35.7143,634,0.00634,983,0.00983,600000
-43.8776,37.7551,456,0.00456,848,0.00848,600000
-43.8776,39.7959,484,0.0048400000000000006,826,0.00826,600000
-43.8776,41.8367,500,0.005,870,0.0087,600000
-43.8776,43.8776,488,0.00488,848,0.00848,600000
-43.8776,45.9184,528,0.00528,845,0.00845,600000
-43.8776,47.9592,586,0.00586,885,0.00885,600000
-43.8776,50.0,549,0.00549,856,0.00856,600000
-41.8367,-50.0,535,0.00535,875,0.00875,600000
-41.8367,-47.9592,545,0.00545,890,0.0089,600000
-41.8367,-45.9184,614,0.00614,890,0.0089,600000
-41.8367,-43.8776,495,0.0049499999999999995,844,0.00844,600000
-41.8367,-41.8367,535,0.00535,862,0.00862,600000
-41.8367,-39.7959,462,0.00462,829,0.00829,600000
-41.8367,-37.7551,497,0.0049700000000000005,858,0.008579999999999999,600000
-41.8367,-35.7143,614,0.00614,977,0.009770000000000001,600000
-41.8367,-33.6735,486,0.00486,830,0.0083,600000
-41.8367,-31.6327,543,0.00543,939,0.009389999999999999,600000
-41.8367,-29.5918,542,0.0054199999999999995,866,0.00866,600000
-41.8367,-27.551,529,0.00529,905,0.00905,600000
-41.8367,-25.5102,552,0.005520000000000001,884,0.00884,600000
-41.8367,-23.4694,578,0.00578,881,0.00881,600000
-41.8367,-21.4286,513,0.00513,865,0.00865,600000
-41.8367,-19.3878,479,0.00479,828,0.00828,600000
-41.8367,-17.3469,570,0.0057,909,0.00909,600000
-41.8367,-15.3061,548,0.00548,892,0.008919999999999999,600000
-41.8367,-13.2653,514,0.00514,889,0.00889,600000
-41.8367,-11.2245,568,0.00568,916,0.00916,600000
-41.8367,-9.18367,544,0.00544,883,0.008830000000000001,600000
-41.8367,-7.14286,489,0.00489,880,0.0088,600000
-41.8367,-5.10204,540,0.0054,907,0.00907,600000
-41.8367,-3.06122,469,0.00469,914,0.00914,600000
-41.8367,-1.02041,554,0.00554,833,0.00833,600000
-41.8367,1.02041,492,0.00492,866,0.00866,600000
-41.8367,3.06122,550,0.0055,927,0.00927,600000
-41.8367,5.10204,541,0.00541,866,0.008660000000000001,600000
-41.8367,7.14286,507,0.00507,811,0.00811,600000
-41.8367,9.18367,519,0.00519,858,0.00858,600000
-41.8367,11.2245,566,0.00566,885,0.00885,600000
-41.8367,13.2653,575,0.00575,887,0.00887,600000
-41.8367,15.3061,552,0.005520000000000001,926,0.009260000000000001,600000
-41.8367,17.3469,583,0.00583,894,0.00894,600000
-41.8367,19.3878,449,0.00449,825,0.00825,600000
-41.8367,21.4286,528,0.00528,892,0.00892,600000
-41.8367,23.4694,532,0.00532,872,0.00872,600000
-41.8367,25.5102,571,0.00571,925,0.00925,600000
-41.8367,27.551,499,0.00499,893,0.00893,600000
-41.8367,29.5918,536,0.00536,876,0.00876,600000
-41.8367,31.6327,518,0.00518,822,0.00822,600000
-41.8367,33.6735,574,0.00574,908,0.00908,600000
-41.8367,35.7143,525,0.00525,903,0.00903,600000
-41.8367,37.7551,522,0.00522,865,0.00865,600000
-41.8367,39.7959,542,0.00542,900,0.009,600000
-41.8367,41.8367,548,0.0054800000000000005,896,0.00896,600000
-41.8367,43.8776,551,0.00551,878,0.00878,600000
-41.8367,45.9184,599,0.0059900000000000005,935,0.00935,600000
-41.8367,47.9592,510,0.0050999999999999995,832,0.00832,600000
-41.8367,50.0,545,0.00545,870,0.0087,600000
-39.7959,-50.0,572,0.00572,913,0.00913,600000
-39.7959,-47.9592,588,0.00588,922,0.009219999999999999,600000
-39.7959,-45.9184,493,0.00493,797,0.00797,600000
-39.7959,-43.8776,591,0.00591,915,0.00915,600000
-39.7959,-41.8367,573,0.005730000000000001,879,0.00879,600000
-39.7959,-39.7959,532,0.00532,820,0.0082,600000
-39.7959,-37.7551,532,0.00532,859,0.00859,600000
-39.7959,-35.7143,561,0.00561,875,0.00875,600000
-39.7959,-33.6735,528,0.00528,883,0.008830000000000001,600000
