x,y,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-25,44.8,400000,44591,0.111477,151925,0.379812
-25,45,400000,44799,0.111997,151941,0.379852
-25,45.2,400000,44756,0.11189,151830,0.379575
-25,45.4,400000,45088,0.11272,152635,0.381588
-25,45.6,400000,44994,0.112485,152239,0.380597
-25,45.8,400000,44485,0.111213,151766,0.379415
-25,46,400000,45055,0.112638,151702,0.379255
-25,46.2,400000,44591,0.111477,151743,0.379358
-25,46.4,400000,45436,0.11359,152008,0.38002
-25,46.6,400000,44475,0.111187,152222,0.380555
-25,46.8,400000,45160,0.1129,152779,0.381947
-25,47,400000,44647,0.111617,151647,0.379117
-25,47.2,400000,44574,0.111435,151513,0.378783
-25,47.4,400000,44942,0.112355,151843,0.379607
-25,47.6,400000,44458,0.111145,152019,0.380047
-25,47.8,400000,44831,0.112077,151373,0.378433
-25,48,400000,44937,0.112342,151696,0.37924
-25,48.2,400000,44656,0.11164,152147,0.380368
-25,48.4,400000,45015,0.112537,151625,0.379063
-25,48.6,400000,44977,0.112443,152531,0.381327
-25,48.8,400000,45143,0.112857,152355,0.380887
-25,49,400000,45314,0.113285,152744,0.38186
-25,49.2,400000,44626,0.111565,152295,0.380738
-25,49.4,400000,45427,0.113568,152243,0.380607
-25,49.6,400000,44792,0.11198,152218,0.380545
-25,49.8,400000,44796,0.11199,152011,0.380028
-25,50,400000,44954,0.112385,152654,0.381635
-24.8,-50,400000,44638,0.111595,151861,0.379653
-24.8,-49.8,400000,45179,0.112948,152248,0.38062
-24.8,-49.6,400000,45046,0.112615,152056,0.38014
-24.8,-49.4,400000,44863,0.112157,152180,0.38045
-24.8,-49.2,400000,45038,0.112595,151900,0.37975
-24.8,-49,400000,44738,0.111845,151405,0.378512
-24.8,-48.8,400000,44407,0.111018,152005,0.380012
-24.8,-48.6,400000,44564,0.11141,152020,0.38005
-24.8,-48.4,400000,45103,0.112757,152349,0.380873
-24.8,-48.2,400000,44231,0.110577,151679,0.379198
-24.8,-48,400000,44979,0.112448,152514,0.381285
-24.8,-47.8,400000,44729,0.111823,152191,0.380478
-24.8,-47.6,400000,44627,0.111568,151776,0.37944
-24.8,-47.4,400000,44816,0.11204,151938,0.379845
-24.8,-47.2,400000,45058,0.112645,151905,0.379763
-24.8,-47,400000,45148,0.11287,152377,0.380943
-24.8,-46.8,400000,44485,0.111213,151868,0.37967
-24.8,-46.6,400000,45012,0.11253,152248,0.38062
-24.8,-46.4,400000,44624,0.11156,151472,0.37868
-24.8,-46.2,400000,44770,0.111925,152076,0.38019
-24.8,-46,400000,44559,0.111397,152454,0.381135
-24.8,-45.8,400000,45002,0.112505,152273,0.380682
-24.8,-45.6,400000,44980,0.11245,151743,0.379358
-24.8,-45.4,400000,44443,0.111107,151955,0.379887
-24.8,-45.2,400000,44983,0.112458,152245,0.380613
-24.8,-45,400000,44878,0.112195,151978,0.379945
-24.8,-44.8,400000,44491,0.111228,151947,0.379868
-24.8,-44.6,400000,45065,0.112662,152473,0.381182
-24.8,-44.4,400000,44594,0.111485,151785,0.379462
-24.8,-44.2,400000,45246,0.113115,152729,0.381823
-24.8,-44,400000,44965,0.112412,152039,0.380097
-24.8,-43.8,400000,45040,0.1126,151936,0.37984
-24.8,-43.6,400000,44830,0.112075,152188,0.38047
-24.8,-43.4,400000,44570,0.111425,151701,0.379252
-24.8,-43.2,400000,45409,0.113522,152430,0.381075
-24.8,-43,400000,44567,0.111418,151853,0.379632
-24.8,-42.8,400000,44697,0.111742,151506,0.378765
-24.8,-42.6,400000,44462,0.111155,152447,0.381117
-24.8,-42.4,400000,44766,0.111915,151300,0.37825
-24.8,-42.2,400000,44868,0.11217,152234,0.380585
-24.8,-42,400000,44636,0.11159,151810,0.379525
-24.8,-41.8,400000,44236,0.11059,151501,0.378752
-24.8,-41.6,400000,45023,0.112558,152677,0.381692
-24.8,-41.4,400000,45052,0.11263,151749,0.379373
-24.8,-41.2,400000,45176,0.11294,151773,0.379433
-24.8,-41,400000,45008,0.11252,152422,0.381055
-24.8,-40.8,400000,45367,0.113418,151666,0.379165
-24.8,-40.6,400000,44547,0.111367,152217,0.380543
-24.8,-40.4,400000,44939,0.112348,152345,0.380862
-24.8,-40.2,400000,44429,0.111073,152453,0.381132
-24.8,-40,400000,45145,0.112863,152396,0.38099
-24.8,-39.8,400000,44700,0.11175,151898,0.379745
-24.8,-39.6,400000,45013,0.112532,152031,0.380078
-24.8,-39.4,400000,44709,0.111772,152339,0.380848
-24.8,-39.2,400000,44887,0.112217,151987,0.379968
-24.8,-39,400000,44645,0.111613,151960,0.3799
-24.8,-38.8,400000,45218,0.113045,152333,0.380833
-24.8,-38.6,400000,45220,0.11305,152450,0.381125
-24.8,-38.4,400000,45159,0.112897,151844,0.37961
-24.8,-38.2,400000,45393,0.113483,152247,0.380617
-24.8,-38,400000,45029,0.112573,152061,0.380153
