x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux,mean_roiCounts,mean_normalizedCounts,mean_flux,mean_normalizedFlux,roiCounts_rel_diff,normalizedCounts_rel_diff,flux_rel_diff,normalizedFlux_rel_diff
-50.0,-45.9184,4,100000,54,0.00054,70,0.0007,32.166666666666664,0.00032166666666666666,63.5,0.000635,0.6787564766839379,0.6787564766839379,0.10236220472440945,0.10236220472440936
-50.0,-45.9184,5,100000,39,0.00039,74,0.00074,32.166666666666664,0.00032166666666666666,63.5,0.000635,0.21243523316062185,0.21243523316062177,0.16535433070866143,0.16535433070866132
-50.0,-43.8776,0,100000,20,0.0002,62,0.00062,27.5,0.000275,70.16666666666667,0.0007016666666666667,-0.2727272727272727,-0.27272727272727276,-0.11638954869358675,-0.11638954869358678
-50.0,-43.8776,1,100000,36,0.00036,71,0.00071,27.5,0.000275,70.16666666666667,0.0007016666666666667,0.3090909090909091,0.3090909090909091,0.011876484560570003,0.011876484560569998
-50.0,-43.8776,2,100000,19,0.00019,57,0.00057,27.5,0.000275,70.16666666666667,0.0007016666666666667,-0.3090909090909091,-0.3090909090909091,-0.18764845605700717,-0.18764845605700725
-50.0,-43.8776,3,100000,31,0.00031,81,0.00081,27.5,0.000275,70.16666666666667,0.0007016666666666667,0.12727272727272726,0.1272727272727272,0.15439429928741086,0.15439429928741075
-50.0,-43.8776,4,100000,40,0.0004,83,0.00083,27.5,0.000275,70.16666666666667,0.0007016666666666667,0.45454545454545453,0.45454545454545453,0.182897862232779,0.18289786223277898
-50.0,-43.8776,5,100000,19,0.00019,67,0.00067,27.5,0.000275,70.16666666666667,0.0007016666666666667,-0.3090909090909091,-0.3090909090909091,-0.04513064133016634,-0.04513064133016633
-50.0,-41.8367,0,100000,30,0.0003,85,0.00085,24.166666666666668,0.00024166666666666664,67.83333333333333,0.0006783333333333333,0.2413793103448275,0.2413793103448276,0.25307125307125317,0.25307125307125306
-50.0,-41.8367,1,100000,21,0.00021,64,0.00064,24.166666666666668,0.00024166666666666664,67.83333333333333,0.0006783333333333333,-0.13103448275862073,-0.13103448275862056,-0.056511056511056444,-0.056511056511056396
-50.0,-41.8367,2,100000,23,0.00023,78,0.00078,24.166666666666668,0.00024166666666666664,67.83333333333333,0.0006783333333333333,-0.048275862068965565,-0.048275862068965385,0.14987714987714995,0.1498771498771499
-50.0,-41.8367,3,100000,29,0.00029,68,0.00068,24.166666666666668,0.00024166666666666664,67.83333333333333,0.0006783333333333333,0.19999999999999993,0.20000000000000012,0.002457002457002527,0.00245700245700257
-50.0,-41.8367,4,100000,22,0.00022,55,0.00055,24.166666666666668,0.00024166666666666664,67.83333333333333,0.0006783333333333333,-0.08965517241379314,-0.08965517241379298,-0.18918918918918914,-0.18918918918918912
-50.0,-41.8367,5,100000,20,0.0002,57,0.00057,24.166666666666668,0.00024166666666666664,67.83333333333333,0.0006783333333333333,-0.17241379310344832,-0.17241379310344815,-0.15970515970515964,-0.1597051597051597
-50.0,-39.7959,0,100000,45,0.00045,86,0.00086,32.166666666666664,0.00032166666666666666,79.16666666666667,0.0007916666666666666,0.39896373056994827,0.39896373056994816,0.08631578947368415,0.0863157894736842
-50.0,-39.7959,1,100000,41,0.00041,81,0.00081,32.166666666666664,0.00032166666666666666,79.16666666666667,0.0007916666666666666,0.27461139896373066,0.27461139896373055,0.023157894736842044,0.023157894736842075
-50.0,-39.7959,2,100000,8,8e-05,63,0.00063,32.166666666666664,0.00032166666666666666,79.16666666666667,0.0007916666666666666,-0.7512953367875648,-0.7512953367875648,-0.2042105263157895,-0.20421052631578943
-50.0,-39.7959,3,100000,35,0.00035,75,0.00075,32.166666666666664,0.00032166666666666666,79.16666666666667,0.0007916666666666666,0.08808290155440422,0.08808290155440415,-0.05263157894736848,-0.052631578947368376
-50.0,-39.7959,4,100000,29,0.00029,76,0.00076,32.166666666666664,0.00032166666666666666,79.16666666666667,0.0007916666666666666,-0.09844559585492221,-0.09844559585492225,-0.040000000000000056,-0.039999999999999925
-50.0,-39.7959,5,100000,35,0.00035,94,0.00094,32.166666666666664,0.00032166666666666666,79.16666666666667,0.0007916666666666666,0.08808290155440422,0.08808290155440415,0.18736842105263152,0.18736842105263157
-50.0,-37.7551,0,100000,18,0.00018,64,0.00064,22.5,0.00022500000000000002,67.0,0.00067,-0.2,-0.2,-0.04477611940298507,-0.04477611940298503
-50.0,-37.7551,1,100000,18,0.00018,68,0.00068,22.5,0.00022500000000000002,67.0,0.00067,-0.2,-0.2,0.014925373134328358,0.014925373134328396
-50.0,-37.7551,2,100000,23,0.00023,70,0.0007,22.5,0.00022500000000000002,67.0,0.00067,0.022222222222222223,0.022222222222222157,0.04477611940298507,0.04477611940298503
-50.0,-37.7551,3,100000,27,0.00027,64,0.00064,22.5,0.00022500000000000002,67.0,0.00067,0.2,0.1999999999999999,-0.04477611940298507,-0.04477611940298503
-50.0,-37.7551,4,100000,27,0.00027,71,0.00071,22.5,0.00022500000000000002,67.0,0.00067,0.2,0.1999999999999999,0.05970149253731343,0.059701492537313425
-50.0,-37.7551,5,100000,22,0.00022,65,0.00065,22.5,0.00022500000000000002,67.0,0.00067,-0.022222222222222223,-0.02222222222222228,-0.029850746268656716,-0.029850746268656792
-50.0,-35.7143,0,100000,27,0.00027,72,0.00072,28.166666666666668,0.00028166666666666666,71.5,0.000715,-0.041420118343195304,-0.04142011834319525,0.006993006993006993,0.006993006993007011
-50.0,-35.7143,1,100000,39,0.00039,76,0.00076,28.166666666666668,0.00028166666666666666,71.5,0.000715,0.3846153846153846,0.3846153846153846,0.06293706293706294,0.06293706293706294
-50.0,-35.7143,2,100000,27,0.00027,65,0.00065,28.166666666666668,0.00028166666666666666,71.5,0.000715,-0.041420118343195304,-0.04142011834319525,-0.09090909090909091,-0.090909090909091
-50.0,-35.7143,3,100000,30,0.0003,74,0.00074,28.166666666666668,0.00028166666666666666,71.5,0.000715,0.06508875739644966,0.06508875739644962,0.03496503496503497,0.034965034965034905
-50.0,-35.7143,4,100000,17,0.00017,68,0.00068,28.166666666666668,0.00028166666666666666,71.5,0.000715,-0.39644970414201186,-0.3964497041420118,-0.04895104895104895,-0.048951048951048924
-50.0,-35.7143,5,100000,29,0.00029,74,0.00074,28.166666666666668,0.00028166666666666666,71.5,0.000715,0.029585798816568004,0.02958579881656806,0.03496503496503497,0.034965034965034905
-50.0,-33.6735,0,100000,26,0.00026,69,0.00069,28.666666666666668,0.0002866666666666667,68.66666666666667,0.0006866666666666667,-0.09302325581395353,-0.0930232558139536,0.004854368932038766,0.004854368932038743
-50.0,-33.6735,1,100000,34,0.00034,60,0.0006,28.666666666666668,0.0002866666666666667,68.66666666666667,0.0006866666666666667,0.18604651162790692,0.18604651162790703,-0.12621359223300976,-0.12621359223300982
-50.0,-33.6735,2,100000,26,0.00026,82,0.00082,28.666666666666668,0.0002866666666666667,68.66666666666667,0.0006866666666666667,-0.09302325581395353,-0.0930232558139536,0.1941747572815533,0.1941747572815533
-50.0,-33.6735,3,100000,27,0.00027,68,0.00068,28.666666666666668,0.0002866666666666667,68.66666666666667,0.0006866666666666667,-0.05813953488372097,-0.05813953488372096,-0.009708737864077738,-0.009708737864077643
-50.0,-33.6735,4,100000,26,0.00026,68,0.00068,28.666666666666668,0.0002866666666666667,68.66666666666667,0.0006866666666666667,-0.09302325581395353,-0.0930232558139536,-0.009708737864077738,-0.009708737864077643
-50.0,-33.6735,5,100000,33,0.00033,65,0.00065,28.666666666666668,0.0002866666666666667,68.66666666666667,0.0006866666666666667,0.15116279069767438,0.15116279069767438,-0.05339805825242725,-0.05339805825242727
-50.0,-31.6327,0,100000,33,0.00033,60,0.0006,36.5,0.00036500000000000004,72.5,0.000725,-0.0958904109589041,-0.0958904109589042,-0.1724137931034483,-0.1724137931034483
-50.0,-31.6327,1,100000,46,0.00046,87,0.00087,36.5,0.00036500000000000004,72.5,0.000725,0.2602739726027397,0.26027397260273966,0.2,0.2000000000000001
-50.0,-31.6327,2,100000,46,0.00046,76,0.00076,36.5,0.00036500000000000004,72.5,0.000725,0.2602739726027397,0.26027397260273966,0.04827586206896552,0.04827586206896565
-50.0,-31.6327,3,100000,26,0.00026,81,0.00081,36.5,0.00036500000000000004,72.5,0.000725,-0.2876712328767123,-0.2876712328767125,0.11724137931034483,0.11724137931034484
-50.0,-31.6327,4,100000,37,0.00037,62,0.00062,36.5,0.00036500000000000004,72.5,0.000725,0.0136986301369863,0.013698630136986188,-0.14482758620689656,-0.14482758620689648
-50.0,-31.6327,5,100000,31,0.00031,69,0.00069,36.5,0.00036500000000000004,72.5,0.000725,-0.1506849315068493,-0.1506849315068494,-0.04827586206896552,-0.048275862068965496
-50.0,-29.5918,0,100000,31,0.00031,62,0.00062,30.5,0.000305,68.83333333333333,0.0006883333333333333,0.01639344262295082,0.016393442622950862,-0.09927360774818396,-0.09927360774818401
-50.0,-29.5918,1,100000,29,0.00029,74,0.00074,30.5,0.000305,68.83333333333333,0.0006883333333333333,-0.04918032786885246,-0.04918032786885241,0.07506053268765141,0.07506053268765132
-50.0,-29.5918,2,100000,37,0.00037,69,0.00069,30.5,0.000305,68.83333333333333,0.0006883333333333333,0.21311475409836064,0.2131147540983607,0.002421307506053338,0.0024213075060532225
-50.0,-29.5918,3,100000,31,0.00031,73,0.00073,30.5,0.000305,68.83333333333333,0.0006883333333333333,0.01639344262295082,0.016393442622950862,0.06053268765133179,0.06053268765133167
