x,y,roiCounts,normalizedCounts,flux,normalizedFlux,roiCounts_rel_diff_to_center,roiCounts_rel_diff_to_mean,normalizedFlux_rel_diff_to_center,normalizedFlux_rel_diff_to_mean
-43.8776,-15.3061,175,0.00175,417,0.00417,0.22377622377622378,0.005372711771708059,0.05837563451776654,-0.021500703487024174
-43.8776,-13.2653,208,0.0020800000000000003,407,0.00407,0.45454545454545453,0.19495728027723014,0.032994923857867994,-0.04496591443457761
-43.8776,-11.2245,172,0.0017200000000000002,431,0.0043100000000000005,0.20279720279720279,-0.011862249001521222,0.09390862944162451,0.011350591839550641
-43.8776,-9.18367,179,0.00179,403,0.00403,0.2517482517482518,0.0283526594693471,0.02284263959390858,-0.054351998813598985
-43.8776,-7.14286,168,0.00168,433,0.00433,0.17482517482517482,-0.03484219669916026,0.098984771573604,0.016043634029061126
-43.8776,-5.10204,149,0.00149,424,0.00424,0.04195804195804196,-0.1439969482629457,0.07614213197969541,-0.005075055823736867
-43.8776,-3.06122,161,0.0016099999999999999,400,0.004,0.1258741258741259,-0.07505710517002859,0.015228426395939127,-0.061391562097864914
-43.8776,-1.02041,205,0.0020499999999999997,416,0.0041600000000000005,0.43356643356643354,0.17772231950400086,0.055837563451776796,-0.023847224581779413
-43.8776,1.02041,174,0.00174,399,0.0039900000000000005,0.21678321678321677,-0.00037227515270170126,0.012690355329949382,-0.06373808319262016
-43.8776,3.06122,162,0.0016200000000000001,431,0.00431,0.13286713286713286,-0.06931211824561882,0.09390862944162429,0.011350591839550438
-43.8776,5.10204,162,0.0016200000000000001,421,0.00421,0.13286713286713286,-0.06931211824561882,0.06852791878172595,-0.012114619108002798
-43.8776,7.14286,165,0.00165,414,0.00414,0.15384615384615385,-0.05207715747238954,0.05076142131979687,-0.028540266771290304
-43.8776,9.18367,216,0.00216,428,0.00428,0.5104895104895105,0.24091717567250823,0.08629441624365483,0.004311028555284508
-43.8776,11.2245,168,0.00168,399,0.0039900000000000005,0.17482517482517482,-0.03484219669916026,0.012690355329949382,-0.06373808319262016
-43.8776,13.2653,161,0.0016099999999999999,433,0.0043300000000000005,0.1258741258741259,-0.07505710517002859,0.09898477157360422,0.016043634029061327
-43.8776,15.3061,136,0.00136,396,0.00396,-0.04895104895104895,-0.2186817782802726,0.005076142131979709,-0.0707776464768863
-43.8776,17.3469,174,0.00174,418,0.00418,0.21678321678321677,-0.00037227515270170126,0.060913705583756285,-0.01915418239226893
-43.8776,19.3878,155,0.00155,420,0.0042,0.08391608391608392,-0.10952702671648715,0.06598984771573599,-0.014461140202758243
-43.8776,21.4286,184,0.00184,448,0.00448,0.2867132867132867,0.0570775940913959,0.1370558375634517,0.051241450450391184
-43.8776,23.4694,187,0.0018700000000000001,404,0.00404,0.3076923076923077,0.07431255486462518,0.025380710659898543,-0.05200547771884354
-43.8776,25.5102,177,0.0017699999999999999,415,0.00415,0.23776223776223776,0.01686268562052758,0.05329949238578683,-0.02619374567653486
-43.8776,27.551,221,0.00221,451,0.00451,0.5454545454545454,0.26964211029455704,0.14467005076142136,0.058281013734657314
-43.8776,29.5918,175,0.00175,434,0.00434,0.22377622377622378,0.005372711771708059,0.10152284263959396,0.01839015512381657
-43.8776,31.6327,167,0.00167,412,0.00412,0.16783216783216784,-0.04058718362357002,0.04568527918781738,-0.03323330896080079
-43.8776,33.6735,196,0.00196,409,0.00409,0.3706293706293706,0.12601743718431302,0.038071065989847705,-0.040272872245066926
-43.8776,35.7143,150,0.0015,413,0.00413,0.04895104895104895,-0.13825196133853596,0.048223350253807126,-0.030886787866045547
-43.8776,37.7551,169,0.00169,439,0.00439,0.18181818181818182,-0.029097209774750502,0.11421319796954311,0.03012276059759319
-43.8776,39.7959,166,0.00166,425,0.00425,0.16083916083916083,-0.046332170547979785,0.07868020304568538,-0.002728534728981422
-43.8776,41.8367,191,0.00191,438,0.00438,0.3356643356643357,0.09729250256226422,0.11167512690355337,0.027776239502837946
-43.8776,43.8776,196,0.00196,420,0.0042,0.3706293706293706,0.12601743718431302,0.06598984771573599,-0.014461140202758243
-43.8776,45.9184,166,0.00166,380,0.0038,0.16083916083916083,-0.046332170547979785,-0.03553299492385785,-0.10832198399297169
-43.8776,47.9592,168,0.00168,405,0.00405,0.17482517482517482,-0.03484219669916026,0.027918781725888287,-0.0496589566240883
-43.8776,50.0,166,0.00166,382,0.00382,0.16083916083916083,-0.046332170547979785,-0.030456852791878142,-0.10362894180346101
-41.8367,-50.0,182,0.00182,454,0.00454,0.2727272727272727,0.045587620242576385,0.15228426395939082,0.06532057701892324
-41.8367,-47.9592,185,0.00185,440,0.0044,0.2937062937062937,0.06282258101580566,0.11675126903553308,0.03246928169234863
-41.8367,-45.9184,156,0.00156,428,0.00428,0.09090909090909091,-0.10378203979207738,0.08629441624365483,0.004311028555284508
-41.8367,-43.8776,159,0.0015899999999999998,459,0.00459,0.11188811188811189,-0.0865470790188481,0.1649746192893402,0.07705318249270006
-41.8367,-41.8367,210,0.0021000000000000003,447,0.00447,0.46853146853146854,0.20644725412604967,0.13451776649746194,0.04889492935563594
-41.8367,-39.7959,176,0.0017599999999999998,433,0.00433,0.23076923076923078,0.01111769869611782,0.098984771573604,0.016043634029061126
-41.8367,-37.7551,193,0.00193,410,0.0041,0.34965034965034963,0.10878247641108374,0.04060913705583767,-0.037926351150311476
-41.8367,-35.7143,183,0.00183,407,0.00407,0.27972027972027974,0.05133260716698614,0.032994923857867994,-0.04496591443457761
-41.8367,-33.6735,178,0.00178,429,0.00429,0.24475524475524477,0.02260767254493734,0.0888324873096448,0.006657549650039954
-41.8367,-31.6327,176,0.00176,374,0.00374,0.23076923076923078,0.01111769869611782,-0.05076142131979698,-0.12240111056150375
-41.8367,-29.5918,165,0.00165,379,0.00379,0.15384615384615385,-0.05207715747238954,-0.038071065989847705,-0.11066850508772703
-41.8367,-27.551,189,0.00189,430,0.0043,0.32167832167832167,0.08580252871344471,0.09137055837563454,0.009004070744795195
-41.8367,-25.5102,188,0.0018800000000000002,426,0.00426,0.3146853146853147,0.08005754178903494,0.08121827411167512,-0.00038201363422617977
-41.8367,-23.4694,157,0.00157,390,0.0039,0.0979020979020979,-0.09803705286766763,-0.010152284263959418,-0.08485677304541836
