x,y,roiCounts_crack,normalizedCounts_crack,flux_crack,normalizedFlux_crack,roiCounts_normal,normalizedCounts_normal,flux_normal,normalizedFlux_normal,roiCounts_abs_diff,roiCounts_rel_diff,roiCounts_sym_rel_diff,normalizedCounts_abs_diff,normalizedCounts_rel_diff,normalizedCounts_sym_rel_diff,flux_abs_diff,flux_rel_diff,flux_sym_rel_diff,normalizedFlux_abs_diff,normalizedFlux_rel_diff,normalizedFlux_sym_rel_diff
-50,-15,204,0.00204,465,0.00465,204,0.00204,465,0.00465,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50,-14,189,0.00189,434,0.00434,185,0.00185,431,0.00431,4,0.021621621621621623,0.0213903743315508,3.999999999999989e-05,0.02162162162162156,0.021390374331550742,3,0.0069605568445475635,0.006936416184971098,3.0000000000000512e-05,0.006960556844547683,0.006936416184971217
-50,-13,161,0.00161,399,0.0039900000000000005,165,0.00165,401,0.00401,-4,-0.024242424242424242,-0.024539877300613498,-3.999999999999989e-05,-0.024242424242424173,-0.024539877300613428,-2,-0.004987531172069825,-0.005,-1.9999999999999185e-05,-0.004987531172069622,-0.004999999999999796
-50,-12,194,0.0019399999999999999,432,0.00432,194,0.0019399999999999999,431,0.00431,0,0.0,0.0,0.0,0.0,0.0,1,0.002320185614849188,0.002317497103128621,1.000000000000046e-05,0.002320185614849295,0.002317497103128728
-50,-11,171,0.0017100000000000001,409,0.00409,169,0.00169,408,0.00408,2,0.011834319526627219,0.011764705882352941,2.0000000000000052e-05,0.01183431952662725,0.01176470588235297,1,0.0024509803921568627,0.0024479804161566705,9.999999999999593e-06,0.0024509803921567625,0.002447980416156571
-50,-10,207,0.00207,461,0.0046099999999999995,205,0.0020499999999999997,460,0.0046,2,0.00975609756097561,0.009708737864077669,2.0000000000000052e-05,0.009756097560975636,0.009708737864077697,1,0.002173913043478261,0.002171552660152009,9.999999999999593e-06,0.0021739130434781724,0.0021715526601519203
-50,-9,166,0.00166,399,0.0039900000000000005,169,0.00169,400,0.004,-3,-0.01775147928994083,-0.01791044776119403,-3.000000000000008e-05,-0.017751479289940874,-0.017910447761194076,-1,-0.0025,-0.0025031289111389237,-9.999999999999593e-06,-0.002499999999999898,-0.0025031289111388214
-50,-8,178,0.00178,407,0.00407,178,0.00178,408,0.00408,0,0.0,0.0,0.0,0.0,0.0,-1,-0.0024509803921568627,-0.00245398773006135,-1.000000000000046e-05,-0.0024509803921569755,-0.002453987730061462
-50,-7,226,0.00226,440,0.0044,224,0.00224,440,0.0044,2,0.008928571428571428,0.008888888888888889,2.0000000000000052e-05,0.008928571428571452,0.008888888888888913,0,0.0,0.0,0.0,0.0,0.0
-50,-6,144,0.00144,409,0.00409,137,0.0013700000000000001,400,0.004,7,0.051094890510948905,0.0498220640569395,6.999999999999997e-05,0.05109489051094888,0.04982206405693948,9,0.0225,0.022249690976514216,8.99999999999998e-05,0.02249999999999995,0.022249690976514167
-50,-5,195,0.00195,423,0.00423,199,0.00199,429,0.00429,-4,-0.020100502512562814,-0.02030456852791878,-4.0000000000000105e-05,-0.020100502512562866,-0.020304568527918836,-6,-0.013986013986013986,-0.014084507042253521,-6.000000000000016e-05,-0.01398601398601402,-0.014084507042253558
-50,-4,154,0.0015400000000000001,437,0.00437,160,0.0015999999999999999,439,0.00439,-6,-0.0375,-0.03821656050955414,-5.9999999999999724e-05,-0.03749999999999983,-0.038216560509553965,-2,-0.004555808656036446,-0.0045662100456621,-2.0000000000000052e-05,-0.004555808656036458,-0.004566210045662112
-50,-3,220,0.0022,454,0.00454,220,0.0022,453,0.00453,0,0.0,0.0,0.0,0.0,0.0,1,0.002207505518763797,0.002205071664829107,9.999999999999593e-06,0.0022075055187637067,0.002205071664829017
-50,-2,203,0.00203,443,0.00443,204,0.00204,444,0.00444,-1,-0.004901960784313725,-0.004914004914004914,-1.0000000000000026e-05,-0.0049019607843137376,-0.004914004914004926,-1,-0.0022522522522522522,-0.002254791431792559,-1.000000000000046e-05,-0.0022522522522523554,-0.002254791431792663
-50,-1,190,0.0019,434,0.00434,190,0.0019,433,0.00433,0,0.0,0.0,0.0,0.0,0.0,1,0.0023094688221709007,0.002306805074971165,1.000000000000046e-05,0.002309468822171007,0.002306805074971271
-50,0,172,0.00172,435,0.00435,172,0.00172,435,0.00435,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
